0,1,2
0.0,996.1540349290633,44.0
1.0,-386.6093525246366,-100.0
2.0,868.8288194549309,502.0
3.0,982.6847565118445,74.0
4.0,830.5090780638234,573.0
5.0,978.2466212480135,108.0
6.0,-360.4190959407448,-100.0
7.0,956.148388716785,168.0
8.0,973.5624517949722,102.0
9.0,887.4077909667894,408.0
10.0,960.4160525777421,181.0
11.0,901.0392437892665,352.0
12.0,988.7344101411425,36.0
13.0,993.2469376974736,40.0
14.0,969.5021649857704,139.0
15.0,-336.2411167078028,-100.0
16.0,957.9562843796356,163.0
17.0,-361.0445909869558,-100.0
18.0,970.8138400820748,137.0
19.0,-368.39890426837366,-100.0
20.0,940.9930316045854,197.0
21.0,-379.02663964816674,-100.0
22.0,917.6374319145972,351.0
23.0,935.8038198865205,213.0
24.0,-385.6608323592992,-100.0
25.0,854.5185575634057,563.0
26.0,993.5683545960839,40.0
27.0,-374.43077979177156,-100.0
28.0,905.4551294059279,293.0
29.0,-323.1506133307186,-100.0
30.0,864.2007184761493,502.0
31.0,970.0827361615818,121.0
32.0,951.8682557348508,192.0
33.0,948.3366152304393,216.0
34.0,1001.5662060264737,2.0
35.0,977.3575649723232,75.0
36.0,986.317613913353,68.0
37.0,993.9260106556492,37.0
38.0,961.1142257180105,172.0
39.0,-345.6097373478744,-100.0
40.0,912.4169666647203,309.0
41.0,889.9753930977427,362.0
42.0,-366.1794828120519,-100.0
43.0,1000.0827984516895,20.0
44.0,879.7045977769276,475.0
45.0,-390.6578347282956,-100.0
46.0,918.5654031977656,272.0
47.0,-382.52968076797504,-100.0
48.0,872.4970228384643,415.0
49.0,992.3151608471055,51.0
50.0,-389.67653749351854,-100.0
51.0,972.9036654244204,98.0
52.0,1006.0389568947896,2.0
53.0,941.108586578986,197.0
54.0,950.2898654114169,198.0
55.0,883.0641781938139,396.0
56.0,-384.1857295521251,-100.0
57.0,885.4888281443194,412.0
58.0,993.2117526108021,28.0
59.0,978.7466717115276,120.0
60.0,983.6008045067457,98.0
61.0,889.7216341910025,360.0
62.0,-392.49043790120584,-100.0
63.0,894.9623060562434,395.0
64.0,978.5668867673083,105.0
65.0,989.9997425604122,59.0
66.0,-375.556214431079,-100.0
67.0,-389.18287176468385,-100.0
68.0,-366.79454576734236,-100.0
69.0,999.340366868512,12.0
70.0,989.4725454818845,39.0
71.0,875.4797716014996,420.0
72.0,910.4598665937234,369.0
73.0,924.7696633474106,372.0
74.0,942.2655463585479,369.0
75.0,976.9956130776322,89.0
76.0,874.5577404827764,392.0
77.0,983.4084061915165,68.0
78.0,960.7279024394556,153.0
79.0,-393.06700002137376,-100.0
80.0,931.9182016910279,221.0
81.0,995.155738669889,20.0
82.0,977.5972792898832,114.0
83.0,993.7337462967521,28.0
84.0,-404.0017480716263,-100.0
85.0,976.2842406943797,85.0
86.0,920.2767415335481,290.0
87.0,877.0378055119899,427.0
88.0,993.3694815390354,37.0
89.0,947.5940977389404,202.0
90.0,1003.059901848677,11.0
91.0,945.8095210803658,190.0
92.0,953.9686664258893,162.0
93.0,980.851850060615,77.0
94.0,999.7204885593151,24.0
95.0,899.7743222200928,299.0
96.0,943.5337100596289,201.0
97.0,1002.8442413978677,9.0
98.0,951.0224922886684,192.0
99.0,969.5591420608994,90.0
100.0,899.275592424099,418.0
101.0,920.8355349201978,255.0
102.0,983.889591722422,50.0
103.0,-369.32218571677487,-100.0
104.0,1004.3367418840014,18.0
105.0,926.1030012085248,254.0
106.0,954.1015013134178,158.0
107.0,931.5356729386915,226.0
108.0,958.0637203221712,158.0
109.0,-399.31795155493097,-100.0
110.0,944.2147444932668,221.0
111.0,962.1928585159798,135.0
112.0,-356.21807741385646,-100.0
113.0,991.8558192290611,52.0
114.0,980.5978198679261,70.0
115.0,954.8786581809201,148.0
116.0,992.4035907689641,41.0
117.0,993.7603557314656,30.0
118.0,-378.0903447168323,-100.0
119.0,934.6459700538389,258.0
120.0,976.2931261681748,112.0
121.0,923.9878483887337,243.0
122.0,944.1493040079475,194.0
123.0,920.418860953793,266.0
124.0,907.3584415821005,327.0
125.0,941.6372387835045,196.0
126.0,906.3444055643048,445.0
127.0,867.8468458818008,429.0
128.0,-386.8742731371927,-100.0
129.0,894.1697945003214,377.0
130.0,985.2025067253309,67.0
131.0,968.8917961604674,111.0
132.0,990.4510262548207,40.0
133.0,-401.4641264655726,-100.0
134.0,963.2232112357696,162.0
135.0,-396.38349540222805,-100.0
136.0,848.4125708784995,519.0
137.0,959.2685054203093,184.0
138.0,986.0880035513701,56.0
139.0,871.0728031888941,437.0
140.0,927.1949261807941,377.0
141.0,981.3737791354599,95.0
142.0,973.7392188215362,91.0
143.0,1002.6637340066054,9.0
144.0,967.5625119467818,132.0
145.0,-379.21678442473,-100.0
146.0,-386.95104835932005,-100.0
147.0,980.3795999342303,76.0
148.0,897.1371029323453,439.0
149.0,908.0003446080625,302.0
150.0,996.0320726460266,37.0
151.0,1002.235083737331,6.0
152.0,915.2338632608675,252.0
153.0,940.5185399637105,210.0
154.0,-351.63000717276435,-100.0
155.0,1007.7435073305988,1.0
156.0,-364.91291975477753,-100.0
157.0,896.8737191353333,341.0
158.0,-397.2532154321436,-100.0
159.0,918.3777159837751,281.0
160.0,984.7112971481887,77.0
161.0,867.8921651261091,430.0
162.0,955.3798907334102,170.0
163.0,968.2845553104924,202.0
164.0,868.8641490327564,486.0
165.0,979.8948184176744,96.0
166.0,-383.98247291422666,-100.0
167.0,965.312994324894,159.0
168.0,989.7291404656539,43.0
169.0,969.7824541180192,129.0
170.0,849.8475220558885,556.0
171.0,956.9251320149134,143.0
172.0,-356.62926355703485,-100.0
173.0,992.8041531005471,63.0
174.0,920.3154765639704,288.0
175.0,975.4503665511533,120.0
176.0,939.1322828949238,228.0
